bundle,cluster,pc1,pc2
AB02 AB22 + AB22 AB28,0,-0.1751542214001418,0.03365915568616723
AB02 AB22 + AB22 AB28 + AB81 AB02,0,-0.25041206235805546,0.04910492703939684
AB02 AB22 + AB22 AB67,0,-0.6316684144899678,0.1278243881383238
AB02 AB22 + AB22 AB67 + AB81 AB02,0,-0.9326997783216205,0.18960747355123825
AB02 AB22 + AB81 AB02,0,-0.7687204614705511,0.1562351223822392
AB03 AB40 + AB28 AB81,0,-0.577893089052747,0.12958797298130595
AB03 AB40 + AB28 AB81 + AB40 AB28,0,-0.8587686076334141,0.19349325504698825
AB03 AB40 + AB40 AB28,0,-0.5778930890527464,0.12958797298130728
AB03 AB59 + AB28 AB03,0,-0.09283410956229911,-0.9854482246893511
AB03 AB59 + AB28 AB03 + AB59 AB67,0,-0.14120188761870728,-1.4676689181013358
AB03 AB59 + AB59 AB67,0,-0.11287760800423088,-0.9626639779740258
AB03 AB81 + AB22 AB03,0,-0.5039447331076453,1.6150632270458136
AB03 AB81 + AB22 AB03 + AB81 AB51,0,-0.749373912411507,2.4065293038808946
AB03 AB81 + AB81 AB51,0,-0.5070004104991388,1.5847095625201033
AB04 AB40 + AB22 AB59,0,-0.1252906639159234,-1.1447969525766655
AB04 AB40 + AB22 AB59 + AB40 AB22,0,-0.18921613791662817,-1.705063972771927
AB04 AB40 + AB40 AB22,0,-0.22872531295104276,-1.2040671223481112
AB04 AB40 + AB40 AB81,0,-0.6782836842186969,-2.6292220881294948
AB04 AB40 + AB40 AB81 + AB81 AB22,0,-1.007280341545087,-3.9165355727093996
AB04 AB40 + AB81 AB22,0,-0.6424542833356509,-2.576691097735541
AB04 AB69 + AB22 AB67,0,-0.1894410782093511,0.035825268997242456
AB04 AB69 + AB22 AB67 + AB69 AB22,0,-0.2841163548355624,0.0538071556756772
AB04 AB69 + AB69 AB22,0,-0.2054926051438372,0.037741182206811316
AB08 AB23 + AB23 AB22,0,-0.5778930890528278,0.1295879729812429
AB08 AB23 + AB23 AB22 + AB54 AB08,0,-0.8587686076335327,0.1934932550468926
AB08 AB23 + AB54 AB08,0,-0.5778930890528287,0.12958797298124314
