file,line,pair,stems
HT13.txt,3,AB22 AB40 + AB40 AB81,"AB54 AB22, AB22 AB40, AB40 AB81"
HT13.txt,3,AB22 AB40 + AB54 AB22,"AB54 AB22, AB22 AB40, AB40 AB81"
HT13.txt,3,AB40 AB81 + AB54 AB22,"AB54 AB22, AB22 AB40, AB40 AB81"
HT13.txt,4,AB03 AB59 + AB28 AB03,"AB28 AB03, AB03 AB59, AB59 AB67"
HT13.txt,4,AB03 AB59 + AB59 AB67,"AB28 AB03, AB03 AB59, AB59 AB67"
HT13.txt,4,AB28 AB03 + AB59 AB67,"AB28 AB03, AB03 AB59, AB59 AB67"
HT13.txt,5,AB22 AB09 + AB24 AB22,"AB51 AB24, AB24 AB22, AB22 AB09"
HT13.txt,5,AB22 AB09 + AB51 AB24,"AB51 AB24, AB24 AB22, AB22 AB09"
HT13.txt,5,AB24 AB22 + AB51 AB24,"AB51 AB24, AB24 AB22, AB22 AB09"
HT13.txt,6,AB02 AB22 + AB22 AB67,"AB81 AB02, AB02 AB22, AB22 AB67"
HT13.txt,6,AB02 AB22 + AB81 AB02,"AB81 AB02, AB02 AB22, AB22 AB67"
HT13.txt,6,AB22 AB67 + AB81 AB02,"AB81 AB02, AB02 AB22, AB22 AB67"
HT13.txt,7,AB04 AB40 + AB22 AB59,"AB04 AB40, AB40 AB22, AB22 AB59"
HT13.txt,7,AB04 AB40 + AB40 AB22,"AB04 AB40, AB40 AB22, AB22 AB59"
HT13.txt,7,AB22 AB59 + AB40 AB22,"AB04 AB40, AB40 AB22, AB22 AB59"
HT13.txt,8,AB09 AB81 + AB45 AB09,"AB45 AB09, AB09 AB81, AB81 AB03"
HT13.txt,8,AB09 AB81 + AB81 AB03,"AB45 AB09, AB09 AB81, AB81 AB03"
HT13.txt,8,AB45 AB09 + AB81 AB03,"AB45 AB09, AB09 AB81, AB81 AB03"
HT13.txt,9,AB24 AB41 + AB28 AB51,"AB28 AB51, AB51 AB24, AB24 AB41"
HT13.txt,9,AB24 AB41 + AB51 AB24,"AB28 AB51, AB51 AB24, AB24 AB41"
HT13.txt,9,AB28 AB51 + AB51 AB24,"AB28 AB51, AB51 AB24, AB24 AB41"
HT13.txt,10,AB30 AB22 + AB79 AB30,"AB81 AB79, AB79 AB30, AB30 AB22"
