stem,ending,pair_count,total_number,avg_number,min_number,max_number,examples
AB04 AB40,AB59,1,2,2.0,2,2,AB04 AB40 AB22 AB59 2
AB04 AB69,AB67,1,1,1.0,1,1,AB04 AB69 AB22 AB67 1
AB27 AB17,AB40,1,3,3.0,3,3,AB27 AB17 AB22 AB40 3
AB28 AB67,AB54,1,4,4.0,4,4,AB28 AB67 AB22 AB54 4
AB51 AB24,AB09,1,7,7.0,7,7,AB51 AB24 AB22 AB09 7
AB51 AB45,AB59,1,8,8.0,8,8,AB51 AB45 AB22 AB59 8
AB54,AB40,1,5,5.0,5,5,AB54 AB22 AB40 5
AB54,AB41,1,3,3.0,3,3,AB54 AB22 AB41 3
AB54 AB28,AB09,1,5,5.0,5,5,AB54 AB28 AB22 AB09 5
AB54 AB67,AB03,3,9,3.0,2,5,AB54 AB67 AB22 AB03 5; AB54 AB67 AB22 AB03 2; AB54 AB67 AB22 AB03 2
AB81 AB02,AB28,1,7,7.0,7,7,AB81 AB02 AB22 AB28 7
AB81 AB02,AB67,4,41,10.25,9,12,AB81 AB02 AB22 AB67 12; AB81 AB02 AB22 AB67 10; AB81 AB02 AB22 AB67 10
