stem,degree,neighbors
AB22 AB40,4,"AB40 AB81, AB54 AB22, AB17 AB22, AB27 AB17"
AB40 AB81,4,"AB22 AB40, AB54 AB22, AB04 AB40, AB81 AB22"
AB54 AB22,4,"AB22 AB40, AB40 AB81, AB22 AB41, AB41 AB51"
AB03 AB59,2,"AB28 AB03, AB59 AB67"
AB28 AB03,4,"AB03 AB59, AB59 AB67, AB22 AB59, AB59 AB28"
AB59 AB67,2,"AB03 AB59, AB28 AB03"
AB22 AB09,4,"AB24 AB22, AB51 AB24, AB28 AB22, AB54 AB28"
AB24 AB22,2,"AB22 AB09, AB51 AB24"
AB51 AB24,4,"AB22 AB09, AB24 AB22, AB24 AB41, AB28 AB51"
AB02 AB22,3,"AB22 AB67, AB81 AB02, AB22 AB28"
AB22 AB67,4,"AB02 AB22, AB81 AB02, AB04 AB69, AB69 AB22"
AB81 AB02,3,"AB02 AB22, AB22 AB67, AB22 AB28"
AB04 AB40,4,"AB22 AB59, AB40 AB22, AB40 AB81, AB81 AB22"
AB22 AB59,6,"AB04 AB40, AB40 AB22, AB45 AB22, AB51 AB45, AB28 AB03, AB59 AB28"
AB40 AB22,2,"AB04 AB40, AB22 AB59"
AB09 AB81,3,"AB45 AB09, AB81 AB03, AB81 AB40"
AB45 AB09,3,"AB09 AB81, AB81 AB03, AB81 AB40"
AB81 AB03,2,"AB09 AB81, AB45 AB09"
AB24 AB41,2,"AB28 AB51, AB51 AB24"
AB28 AB51,2,"AB24 AB41, AB51 AB24"
AB30 AB22,2,"AB79 AB30, AB81 AB79"
AB79 AB30,2,"AB30 AB22, AB81 AB79"
AB81 AB79,2,"AB30 AB22, AB79 AB30"
AB22 AB03,4,"AB54 AB67, AB67 AB22, AB03 AB81, AB81 AB51"
AB54 AB67,2,"AB22 AB03, AB67 AB22"
AB67 AB22,4,"AB22 AB03, AB54 AB67, AB22 AB54, AB28 AB67"
AB08 AB23,2,"AB23 AB22, AB54 AB08"
AB23 AB22,2,"AB08 AB23, AB54 AB08"
AB54 AB08,2,"AB08 AB23, AB23 AB22"
AB81 AB22,2,"AB04 AB40, AB40 AB81"
AB09 AB45,5,"AB45 AB59, AB59 AB04, AB40 AB09, AB45 AB22, AB77 AB09"
AB45 AB59,3,"AB09 AB45, AB59 AB04, AB77 AB09"
AB59 AB04,3,"AB09 AB45, AB45 AB59, AB77 AB09"
AB22 AB28,2,"AB02 AB22, AB81 AB02"
AB40 AB09,2,"AB09 AB45, AB45 AB22"
AB45 AB22,4,"AB09 AB45, AB40 AB09, AB22 AB59, AB51 AB45"
AB03 AB81,2,"AB22 AB03, AB81 AB51"
AB81 AB51,2,"AB03 AB81, AB22 AB03"
AB28 AB22,2,"AB22 AB09, AB54 AB28"
AB54 AB28,2,"AB22 AB09, AB28 AB22"
AB51 AB45,2,"AB22 AB59, AB45 AB22"
AB03 AB40,2,"AB28 AB81, AB40 AB28"
AB28 AB81,2,"AB03 AB40, AB40 AB28"
AB40 AB28,2,"AB03 AB40, AB28 AB81"
AB22 AB54,2,"AB28 AB67, AB67 AB22"
AB28 AB67,2,"AB22 AB54, AB67 AB22"
AB81 AB40,2,"AB09 AB81, AB45 AB09"
AB22 AB41,2,"AB41 AB51, AB54 AB22"
AB41 AB51,2,"AB22 AB41, AB54 AB22"
AB59 AB28,2,"AB22 AB59, AB28 AB03"
AB77 AB09,3,"AB09 AB45, AB45 AB59, AB59 AB04"
AB17 AB22,2,"AB22 AB40, AB27 AB17"
AB27 AB17,2,"AB17 AB22, AB22 AB40"
AB04 AB69,2,"AB22 AB67, AB69 AB22"
AB69 AB22,2,"AB04 AB69, AB22 AB67"
