s1,s2,count
AB51,AB24,5
AB81,AB02,5
AB02,AB22,5
AB22,AB67,5
AB09,AB45,5
AB28,AB51,4
AB24,AB41,4
AB67,AB22,4
AB22,AB03,4
AB45,AB59,4
AB59,AB04,4
AB40,AB81,3
AB04,AB40,3
AB22,AB59,3
AB54,AB67,3
AB54,AB22,2
AB22,AB40,2
AB28,AB03,2
AB22,AB09,2
AB45,AB09,2
AB09,AB81,2
AB81,AB79,2
AB79,AB30,2
AB30,AB22,2
AB54,AB08,2
AB08,AB23,2
AB23,AB22,2
AB81,AB22,2
AB45,AB22,2
AB03,AB59,1
AB59,AB67,1
AB24,AB22,1
AB40,AB22,1
AB81,AB03,1
AB22,AB28,1
AB40,AB09,1
AB03,AB81,1
AB81,AB51,1
AB54,AB28,1
AB28,AB22,1
AB51,AB45,1
AB03,AB40,1
AB40,AB28,1
AB28,AB81,1
AB28,AB67,1
AB22,AB54,1
AB81,AB40,1
AB22,AB41,1
AB41,AB51,1
AB59,AB28,1
AB77,AB09,1
AB27,AB17,1
AB17,AB22,1
AB04,AB69,1
AB69,AB22,1
