stem_tokens,count,example_file
AB81 AB02,4,HT13.txt
AB28 AB51 AB24 AB41,4,HT13.txt
AB54 AB67 AB22 AB03,3,HT13.txt
AB09 AB45,3,HT31.txt
AB81 AB79 AB30 AB22,2,HT13.txt
AB54 AB08 AB23 AB22,2,HT31.txt
AB04 AB40 AB81 AB22,2,HT31.txt
AB54 AB22 AB40 AB81,1,HT13.txt
AB28 AB03 AB59 AB67,1,HT13.txt
AB51 AB24 AB22 AB09,1,HT13.txt
AB04 AB40 AB22 AB59,1,HT13.txt
AB45 AB09 AB81 AB03,1,HT13.txt
AB81 AB02 AB22 AB28,1,HT31.txt
AB40 AB09 AB45 AB22,1,HT31.txt
AB22 AB03 AB81 AB51,1,HT31.txt
AB54 AB28 AB22 AB09,1,HT31.txt
AB51 AB45 AB22 AB59,1,HT31.txt
AB03 AB40 AB28 AB81,1,HT31.txt
AB28 AB67 AB22 AB54,1,HT31.txt
AB45 AB09 AB81 AB40,1,HT31.txt
AB54 AB22 AB41 AB51,1,HT31.txt
AB22 AB59 AB28 AB03,1,HT31.txt
AB77 AB09 AB45,1,ZA10.txt
AB27 AB17 AB22 AB40,1,ZA10.txt
AB04 AB69,1,ZA10.txt
